App,Category,Rating,Reviews,Size,Installs,Type,Last Updated
ROBLOX,GAME,4.5,4447388,67M,"100,000,000+",Free,31-Jul-18
Subway Surfers,GAME,4.5,27722264,76M,"1,000,000,000+",Free,12-Jul-18
Candy Crush Saga,GAME,4.4,22426677,74M,"500,000,000+",Free,5-Jul-18
Solitaire,GAME,4.7,254258,23M,"10,000,000+",Free,1-Aug-18
Bubble Shooter,GAME,4.5,148897,46M,"10,000,000+",Free,17-Jul-18
Hello Kitty Nail Salon,GAME,4.2,369203,24M,"50,000,000+",Free,17-Apr-18
slither.io,GAME,4.4,5234162,Varies with device,"100,000,000+",Free,14-Nov-17
Clash Royale,GAME,4.6,23133508,97M,"100,000,000+",Free,27-Jun-18
Temple Run 2,GAME,4.3,8118609,62M,"500,000,000+",Free,5-Jul-18
Pou,GAME,4.3,10485308,24M,"500,000,000+",Free,25-May-18
Helix Jump,GAME,4.2,1497361,33M,"100,000,000+",Free,9-Apr-18
Block Puzzle,GAME,4.6,59800,7.8M,"5,000,000+",Free,6-Mar-18
Angry Birds Rio,GAME,4.4,2610526,46M,"100,000,000+",Free,3-Jul-18
Plants vs. Zombies FREE,GAME,4.4,4066989,69M,"100,000,000+",Free,6-Jul-18
Sonic Dash,GAME,4.5,3778921,75M,"100,000,000+",Free,26-Jul-18
Candy Crush Soda Saga,GAME,4.4,6198563,67M,"100,000,000+",Free,10-Jul-18
Zombie Hunter King,GAME,4.3,10306,50M,"1,000,000+",Free,1-Aug-18
Clash of Clans,GAME,4.6,44891723,98M,"100,000,000+",Free,15-Jul-18
Kick the Buddy,GAME,4.3,1000417,Varies with device,"50,000,000+",Free,5-Jul-18
Block Puzzle Classic Legend !,GAME,4.2,17039,4.9M,"5,000,000+",Free,13-Apr-18
PAC-MAN,GAME,4.2,685981,37M,"100,000,000+",Free,15-May-18
Super Jim Jump - pixel 3d,GAME,4.5,10393,18M,"1,000,000+",Free,11-Jul-18
8 Ball Pool,GAME,4.5,14198297,52M,"100,000,000+",Free,31-Jul-18
